string,occurance,result,prob
'00001010',10,p(1|00001010),0.09971038670539034
'00001011',6,p(1|00001011),0.17930810842896577
'00001100',32,p(1|00001100),0.24968752990260584
'00001101',11,p(1|00001101),0.36108778572200767
'00001110',13,p(1|00001110),0.23201525025618522
'00001111',9,p(1|00001111),0.22162677140895898
'00010000',148,p(1|00010000),0.09460896952784327
'00010001',12,p(1|00010001),0.08898159410533579
'00010010',36,p(1|00010010),0.44458872040763037
'00010011',10,p(1|00010011),0.30490152935856774
'00010100',10,p(1|00010100),0.009104996234199362
'00010101',1,p(1|00010101),0.11598918483502861
'00010110',8,p(1|00010110),0.00022212047966980913
'00010111',6,p(1|00010111),0.5039713092090743
'00011000',29,p(1|00011000),0.3447082749432454
'00011001',8,p(1|00011001),0.006559545163380365
'00011010',11,p(1|00011010),0.27361203828970027
'00011011',4,p(1|00011011),0.5119736696417393
'00011100',10,p(1|00011100),0.10125439774111211
'00011101',4,p(1|00011101),0.7559595768140062
'00011110',12,p(1|00011110),0.08480132606286131
'00011111',3,p(1|00011111),0.3629912463247998
'00100000',159,p(1|00100000),0.12580179416690082
'00100001',18,p(1|00100001),0.22175371850928474
'00100010',13,p(1|00100010),0.15377736375556367
'00100011',6,p(1|00100011),0.8271198864408418
'00100100',21,p(1|00100100),0.14365897397574237
'00100101',18,p(1|00100101),0.11182191918347183
'00100110',8,p(1|00100110),0.12858813846768416
'00100111',7,p(1|00100111),0.566751852880191
'00101000',22,p(1|00101000),0.3634078906072498
'00101001',10,p(1|00101001),0.3988869418605009
'00101010',1,p(1|00101010),0.00038910891821163334
'00101011',1,p(1|00101011),0.0018590909343887206
'00101100',8,p(1|00101100),0.0035774656378926794
'00101101',0,p(1|00101101),0.9250383915274103
'00101110',5,p(1|00101110),0.3995234897225551
'00101111',7,p(1|00101111),0.4286903887872956
'00110000',24,p(1|00110000),0.2085893823787349
'00110001',12,p(1|00110001),0.1687093646172542
'00110010',9,p(1|00110010),0.00013140748202816272
'00110011',2,p(1|00110011),0.49794952594845554
'00110100',9,p(1|00110100),0.5524976116483649
'00110101',4,p(1|00110101),0.7499673943691813
'00110110',2,p(1|00110110),0.9906521424977296
'00110111',4,p(1|00110111),0.74770741658075
'00111000',12,p(1|00111000),0.5820053173512031
'00111001',2,p(1|00111001),0.003939630177349888
'00111010',1,p(1|00111010),0.002708674497830296
'00111011',5,p(1|00111011),0.7867556817181892
'00111100',12,p(1|00111100),0.4155275479637177
'00111101',2,p(1|00111101),0.9999808970492496
'00111110',3,p(1|00111110),0.33024166882879824
'00111111',6,p(1|00111111),0.8349798098470739
'01000000',155,p(1|01000000),0.06458862807620028
'01000001',24,p(1|01000001),0.7077657399066603
'01000010',17,p(1|01000010),0.2955513143227204
'01000011',4,p(1|01000011),0.4974991591911089
'01000100',17,p(1|01000100),0.002980392892201976
'01000101',3,p(1|01000101),0.9889279180633642
'01000110',2,p(1|01000110),0.057314691323015726
'01000111',5,p(1|01000111),0.99112350372343
'01001000',20,p(1|01001000),0.052122742240517654
'01001001',5,p(1|01001001),0.7893839949069231
'01001010',22,p(1|01001010),0.04543061242256468
'01001011',4,p(1|01001011),0.9986662048123118
'01001100',7,p(1|01001100),0.42320839408645394
'01001101',2,p(1|01001101),0.4983283390776446
'01001110',6,p(1|01001110),0.33325725488092384
'01001111',5,p(1|01001111),0.6077579746256144
